election_id,year,election_date
president_1948,1948,1948-11-02
president_1952,1952,1952-11-04
president_1956,1956,1956-11-06
president_1960,1960,1960-11-08
president_1964,1964,1964-11-03
president_1968,1968,1968-11-05
president_1972,1972,1972-11-07
president_1976,1976,1976-11-02
president_1980,1980,1980-11-04
president_1984,1984,1984-11-06
president_1988,1988,1988-11-08
president_1992,1992,1992-11-03
president_1996,1996,1996-11-05
president_2000,2000,2000-11-07
president_2004,2004,2004-11-02
president_2008,2008,2008-11-04
president_2012,2012,2012-11-06
president_2016,2016,2016-11-08
president_2020,2020,2020-11-03
president_2024a,2024,2024-11-05
president_2024b,2024,2024-11-05