election_id,total_votes,inc_candidate_id,inc_party_id,inc_votes,inc_age,chal_candidate_id,chal_party_id,chal_votes,chal_age,incumbent_c,incumbent_p
president_1948,46170639,truman,d,24179347,23553,dewey,r,21991292,17025,1,1
president_1952,61450619,stevenson,d,27375090,19265,eisenhower,r,34075529,22666,0,1
president_1956,61607208,eisenhower,r,35579180,24129,stevenson,d,26028028,20728,1,1
president_1960,68329141,nixon,r,34108157,17470,kennedy,d,34220984,15869,0,1
president_1964,70307754,johnson_l,d,43129566,20522,goldwater,r,27178188,20394,1,1
president_1968,63060646,humphrey,d,31275166,20982,nixon,r,31785480,20389,0,1
president_1972,76341932,nixon,r,47168710,21852,mcgovern,d,29173222,18374,1,1
president_1976,79980515,ford,r,39148634,23122,carter,d,40831881,19025,1,1
president_1980,79383345,carter,d,35480115,20488,reagan,r,43903230,25474,1,1
president_1984,92032824,reagan,r,54455472,26937,mondale,d,37577352,20760,1,1
president_1988,90696073,bush_hw,r,48886597,23525,dukakis,d,41809476,20094,0,1
president_1992,84014356,bush_hw,r,39104550,24981,clinton_b,d,44909806,16878,1,1
president_1996,86598654,clinton_b,d,47401185,18341,dole,r,39197469,26770,1,1
president_2000,101455899,gore,d,50999897,19214,bush_w,r,50456002,19848,0,1
president_2004,121069054,bush_w,r,62040610,21304,kerry,d,59028444,22242,1,1
president_2008,129446839,mccain,r,59948323,26365,obama,d,69498516,17259,0,1
president_2012,126849299,obama,d,65915795,18722,romney,r,60933504,23981,1,1
president_2016,128838342,clinton_h,d,65853514,25216,trump,r,62984828,25715,0,1
president_2020,155507476,trump,r,74223975,27171,biden,d,81283501,28473,1,1
president_2024a,155507476,biden,d,,29936,trump,r,,28634,1,1
president_2024b,155507476,harris,d,,21931,trump,r,,28634,0,1