election,all,incumbent,challenger,third,none,party_mandate,no_primary_contest,incumbent_seeking_reelection,no_third_party,strong_short_term_econ,strong_long_term_econ,majory_policy_change,no_social_unrest,no_scandal,no_major_foreign_military_failure,major_foreign_military_success,charismatic_incumbent,uncharismatic_challenger
1984,"167,701,904","54,455,472","37,577,352","620,409","75,048,671",1,1,1,1,1,0,1,1,1,1,0,1,1
1988,"173,579,281","48,886,597","41,809,476","898,613","81,984,595",1,1,0,1,1,1,0,1,1,1,1,0,1
1992,"179,655,523","39,104,550","44,909,889","20,409,484","75,231,600",0,1,1,0,0,0,0,1,1,1,1,0,1
1996,"186,347,044","47,401,185","39,197,469","9,675,910","90,072,480",0,1,1,0,1,1,0,1,1,1,0,0,1
2000,"194,331,436","50,999,897","50,456,002","3,965,524","88,910,013",1,1,0,1,1,1,0,1,0,1,0,0,1
2004,"203,483,455","62,040,610","59,028,444","1,226,291","81,188,110",1,1,1,1,1,0,0,1,1,0,1,0,1
2008,"213,313,508","59,948,323","69,498,516","1,866,981","81,999,688",0,1,0,1,0,0,0,1,1,0,0,0,0
2012,"222,474,111","65,915,795","60,933,504","2,236,111","93,388,701",0,1,1,1,1,0,1,1,1,1,1,0,1
2016,"230,931,921","65,853,514","62,984,828","7,830,934","94,262,645",0,0,0,1,1,1,0,1,1,1,0,0,1
2020,"239,247,182","74,223,975","81,283,501","2,922,155","80,817,551",0,1,1,1,0,0,1,0,0,1,0,0,1
2024,"246,134,438",,,,,0,1,1,1,1,1,1,1,1,0,0,0,1